cod_ibge,municipio,uf,caminho
5004700,Ivinhema,MS,MS/ATM_5004700_Ivinhema_MS.pdf
5004809,Japorã,MS,MS/ATM_5004809_Japora_MS.pdf
5004908,Jaraguari,MS,MS/ATM_5004908_Jaraguari_MS.pdf
5005004,Jardim,MS,MS/ATM_5005004_Jardim_MS.pdf
5005103,Jateí,MS,MS/ATM_5005103_Jatei_MS.pdf
5005152,Juti,MS,MS/ATM_5005152_Juti_MS.pdf
5005202,Ladário,MS,MS/ATM_5005202_Ladario_MS.pdf
5005251,Laguna Carapã,MS,MS/ATM_5005251_Laguna_Carapa_MS.pdf
5005400,Maracaju,MS,MS/ATM_5005400_Maracaju_MS.pdf
5005608,Miranda,MS,MS/ATM_5005608_Miranda_MS.pdf
5005681,Mundo Novo,MS,MS/ATM_5005681_Mundo_Novo_MS.pdf
5005707,Naviraí,MS,MS/ATM_5005707_Navirai_MS.pdf
5005806,Nioaque,MS,MS/ATM_5005806_Nioaque_MS.pdf
5006002,Nova Alvorada do Sul,MS,MS/ATM_5006002_Nova_Alvorada_do_Sul_MS.pdf
5006200,Nova Andradina,MS,MS/ATM_5006200_Nova_Andradina_MS.pdf
5006259,Novo Horizonte do Sul,MS,MS/ATM_5006259_Novo_Horizonte_do_Sul_MS.pdf
5006309,Paranaíba,MS,MS/ATM_5006309_Paranaiba_MS.pdf
5006358,Paranhos,MS,MS/ATM_5006358_Paranhos_MS.pdf
5006275,Paraíso das Águas,MS,MS/ATM_5006275_Paraiso_das_Aguas_MS.pdf
5006408,Pedro Gomes,MS,MS/ATM_5006408_Pedro_Gomes_MS.pdf
5006606,Ponta Porã,MS,MS/ATM_5006606_Ponta_Pora_MS.pdf
5006903,Porto Murtinho,MS,MS/ATM_5006903_Porto_Murtinho_MS.pdf
5007109,Ribas do Rio Pardo,MS,MS/ATM_5007109_Ribas_do_Rio_Pardo_MS.pdf
5007208,Rio Brilhante,MS,MS/ATM_5007208_Rio_Brilhante_MS.pdf
5007307,Rio Negro,MS,MS/ATM_5007307_Rio_Negro_MS.pdf
5007406,Rio Verde de Mato Grosso,MS,MS/ATM_5007406_Rio_Verde_de_Mato_Grosso_MS.pdf
5007505,Rochedo,MS,MS/ATM_5007505_Rochedo_MS.pdf
5007554,Santa Rita do Pardo,MS,MS/ATM_5007554_Santa_Rita_do_Pardo_MS.pdf
5007802,Selvíria,MS,MS/ATM_5007802_Selviria_MS.pdf
5007703,Sete Quedas,MS,MS/ATM_5007703_Sete_Quedas_MS.pdf
5007901,Sidrolândia,MS,MS/ATM_5007901_Sidrolandia_MS.pdf
5007935,Sonora,MS,MS/ATM_5007935_Sonora_MS.pdf
5007695,São Gabriel do Oeste,MS,MS/ATM_5007695_Sao_Gabriel_do_Oeste_MS.pdf
5007950,Tacuru,MS,MS/ATM_5007950_Tacuru_MS.pdf
5007976,Taquarussu,MS,MS/ATM_5007976_Taquarussu_MS.pdf
5008008,Terenos,MS,MS/ATM_5008008_Terenos_MS.pdf
5008305,Três Lagoas,MS,MS/ATM_5008305_Tres_Lagoas_MS.pdf
5008404,Vicentina,MS,MS/ATM_5008404_Vicentina_MS.pdf
5000203,Água Clara,MS,MS/ATM_5000203_Agua_Clara_MS.pdf
5100102,Acorizal,MT,MT/ATM_5100102_Acorizal_MT.pdf
5100250,Alta Floresta,MT,MT/ATM_5100250_Alta_Floresta_MT.pdf
5100300,Alto Araguaia,MT,MT/ATM_5100300_Alto_Araguaia_MT.pdf
5100359,Alto Boa Vista,MT,MT/ATM_5100359_Alto_Boa_Vista_MT.pdf
5100409,Alto Garças,MT,MT/ATM_5100409_Alto_Garcas_MT.pdf
5100508,Alto Paraguai,MT,MT/ATM_5100508_Alto_Paraguai_MT.pdf
5100607,Alto Taquari,MT,MT/ATM_5100607_Alto_Taquari_MT.pdf
5100805,Apiacás,MT,MT/ATM_5100805_Apiacas_MT.pdf
5101001,Araguaiana,MT,MT/ATM_5101001_Araguaiana_MT.pdf
5101209,Araguainha,MT,MT/ATM_5101209_Araguainha_MT.pdf
